id,game,profile,esp,aimbot,crit,mic,in_party,association,notes,scout,soldier,pyro,demoman,heavy,engineer,medic,sniper,spy,burner_acc,main_acc,prev_vac_ban,won_game,lost_game,was_kicked,text_chat,kicks_others,is_racist
1,Team Fortress 2,https://steamcommunity.com/profiles/76561199051050031,1,0,1,0,1,0,,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,Team Fortress 2,https://steamcommunity.com/profiles/76561199072652101,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561199051050031,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3,Team Fortress 2,https://steamcommunity.com/profiles/76561198235322776,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561199051050031,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
4,Team Fortress 2,https://steamcommunity.com/profiles/76561198849876717,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561199051050031,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5,Team Fortress 2,https://steamcommunity.com/profiles/76561198092347464,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
6,Team Fortress 2,https://steamcommunity.com/profiles/76561198168728268,1,1,1,0,1,0,,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
7,Team Fortress 2,https://steamcommunity.com/profiles/76561199042759004,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561198168728268,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
8,Team Fortress 2,https://steamcommunity.com/profiles/76561199476901435,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561198168728268,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
9,Team Fortress 2,https://steamcommunity.com/profiles/76561199476901435,0,0,0,0,1,1,https://steamcommunity.com/profiles/76561198168728268,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
10,Team Fortress 2,https://steamcommunity.com/profiles/76561199172046833/,1,1,1,0,1,1,https://steamcommunity.com/profiles/76561198168728268,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
11,Team Fortress 2,https://steamcommunity.com/profiles/76561198124225397,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
12,Team Fortress 2,https://steamcommunity.com/profiles/76561198867543675,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1
13,Team Fortress 2,https://steamcommunity.com/profiles/76561199570540504/,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14,Team Fortress 2,https://steamcommunity.com/profiles/76561198132857235,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
15,Team Fortress 2,https://steamcommunity.com/profiles/76561198014067100/,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
17,Team Fortress 2,https://steamcommunity.com/profiles/76561197977542794,0,1,1,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
,,https://steamcommunity.com/profiles/76561197969256128,1,1,0,0,1,0,"lag switching, private profile",,,,1,,,,,,,1,,,,1,1,,1
,,https://steamcommunity.com/profiles/76561199561921129,1,1,1,1,1,0,"lag switching, disables comments, salt, brags cheating, binds",1,,,,,,,,,1,,,1,,,1,,
,,https://steamcommunity.com/profiles/76561198964818082/,0,0,0,0,1,0,"no spread, denies cheating, 'salt', private profile",,,,,1,,,,,1,,,,1,,1,,
,,https://steamcommunity.com/profiles/76561198032680830,1,1,0,0,0,0,"private profile, disables comments",,,,1,,,,,,,1,,,,,,,
,,https://steamcommunity.com/profiles/76561198145399212,1,1,0,0,0,0,"denies cheating, 'salt', private profile, disables comments",,1,,,,,,,,,1,,1,,,1,,
